th13,dm31,real,walker
0.0254943,2.56862,0.339553,1
0.0254943,2.56862,0.339553,1
0.0254943,2.56862,0.339553,1
0.0254943,2.56862,0.339553,1
0.0251316,2.56029,0.314165,1
0.0251316,2.56029,0.314165,1
0.0250053,2.55707,0.3015,1
0.0250053,2.55707,0.3015,1
0.0250053,2.55707,0.3015,1
0.0250053,2.55707,0.3015,1
0.0250053,2.55707,0.3015,1
0.0230687,2.59741,0.205721,1
0.0230687,2.59741,0.205721,1
0.0228786,2.54461,0.128324,1
0.0231276,2.54464,0.153842,1
0.0232534,2.54702,0.175632,1
0.0232534,2.54702,0.175632,1
0.0234609,2.5476,0.29461,1
0.0234609,2.5476,0.29461,1
0.0234609,2.5476,0.29461,1
0.0234609,2.5476,0.29461,1
0.0234609,2.5476,0.29461,1
0.0234609,2.5476,0.29461,1
0.0234427,2.54786,0.289844,1
0.0234427,2.54786,0.289844,1
0.0234427,2.54786,0.289844,1
0.0234428,2.5481,0.292729,1
0.0232717,2.57373,0.301494,1
0.0231176,2.5782,0.255616,1
0.0240133,2.54265,0.293786,1
0.0240961,2.51638,0.283695,1
0.0240961,2.51638,0.283695,1
0.0240123,2.52247,0.2712,1
0.0239124,2.52181,0.251391,1
0.0238651,2.51923,0.246014,1
0.0240895,2.50609,0.255584,1
0.0240895,2.50609,0.255584,1
0.0249759,2.50891,0.328084,1
0.0255516,2.52864,0.401205,1
0.0251764,2.52153,0.366165,1
0.0251764,2.52153,0.366165,1
0.0251764,2.52153,0.366165,1
0.0240677,2.49968,0.183031,1
0.0247891,2.49912,0.212418,1
0.0245735,2.49641,0.172528,1
0.0245735,2.49641,0.172528,1
0.0242743,2.5123,0.140307,1
0.0242743,2.5123,0.140307,1
0.0237167,2.49821,0.1622,1
0.0237167,2.49821,0.1622,1
0.0237167,2.49821,0.1622,1
0.0231416,2.49073,-0.00901823,1
0.024846,2.49456,0.214105,1
0.0250468,2.55428,0.206657,1
0.0250468,2.55428,0.206657,1
0.0268117,2.57483,0.39899,1
0.0268117,2.57483,0.39899,1
0.0268117,2.57483,0.39899,1
0.0268117,2.57483,0.39899,1
0.0251692,2.65213,0.310255,1
0.0242173,2.60668,-0.0145706,1
0.0242173,2.60668,-0.0145706,1
0.0242924,2.60985,-0.0132184,1
0.0232384,2.59542,-0.099287,1
0.0252017,2.50129,0.162305,1
0.0252017,2.50129,0.162305,1
0.025469,2.50445,0.218046,1
0.0252703,2.50979,0.215846,1
