th13,dm31,walker
0.0224427,2.49877,1
0.022355,2.49368,1
0.0224742,2.49554,1
0.0225976,2.48395,1
0.0230918,2.51178,1
0.0231538,2.50286,1
0.0231404,2.50806,1
0.0231404,2.50806,1
0.0231557,2.50772,1
0.0223849,2.50263,1
0.022361,2.50093,1
0.022361,2.50093,1
0.0224368,2.50368,1
0.0224849,2.5085,1
0.0220685,2.52383,1
0.0221879,2.53438,1
0.0219916,2.57774,1
0.0219916,2.57774,1
0.0221851,2.58415,1
0.0222758,2.52073,1
0.022037,2.48627,1
0.0217903,2.49096,1
0.0218555,2.4887,1
0.0218555,2.4887,1
0.0218418,2.4986,1
0.021551,2.49505,1
0.0208464,2.4474,1
0.0208464,2.4474,1
0.0206232,2.42628,1
0.0206388,2.4262,1
0.0206388,2.4262,1
0.0206388,2.4262,1
0.021496,2.45801,1
0.021496,2.45801,1
0.0222038,2.49967,1
0.0222757,2.50024,1
0.0222765,2.50032,1
0.0227238,2.51649,1
0.0227238,2.51649,1
0.0224189,2.50313,1
0.0223297,2.50409,1
0.0223297,2.50409,1
0.0227869,2.45338,1
0.0231192,2.43818,1
0.0230714,2.42313,1
0.0232912,2.43427,1
0.0238372,2.3915,1
0.0235658,2.41661,1
0.0235499,2.41789,1
0.0233754,2.42278,1
0.0235996,2.40425,1
0.0227755,2.46956,1
0.0227755,2.46956,1
0.0221975,2.48434,1
0.0222888,2.48438,1
0.022246,2.49819,1
0.022246,2.49819,1
0.0223249,2.46905,1
0.0220852,2.45259,1
0.0219832,2.39468,1
0.0219007,2.34985,1
0.0218942,2.3768,1
0.0218942,2.3768,1
0.0218594,2.38864,1
0.022125,2.41879,1
0.021846,2.43691,1
0.021846,2.43691,1
0.021846,2.43691,1
0.0220924,2.4758,1
0.0220924,2.4758,1
0.022,2.43322,1
0.0219799,2.44808,1
0.0219799,2.44808,1
0.0219799,2.44808,1
0.0219799,2.44808,1
0.0219799,2.44808,1
0.0219799,2.44808,1
0.0216155,2.41312,1
0.0216155,2.41312,1
0.0215729,2.3978,1
0.0216746,2.41075,1
0.0216746,2.41075,1
0.0216746,2.41075,1
0.0219972,2.44903,1
0.0219972,2.44903,1
0.0219972,2.44903,1
0.0222803,2.40179,1
0.0222803,2.40179,1
0.0224977,2.30884,1
0.0224977,2.30884,1
0.0224248,2.28796,1
0.0220205,2.33683,1
0.021935,2.35969,1
0.021935,2.35969,1
0.0218021,2.40182,1
0.0223123,2.439,1
0.0222338,2.4428,1
0.0221282,2.4457,1
0.0221282,2.4457,1
0.0222789,2.47717,1
0.0230628,2.51163,1
0.0227033,2.48835,1
0.0229333,2.48317,1
0.0230392,2.51702,1
0.0229602,2.51443,1
0.0230957,2.52213,1
0.0232116,2.53573,1
0.0232116,2.53573,1
0.0229342,2.52293,1
0.0226375,2.51954,1
0.0227506,2.51876,1
0.0227506,2.51876,1
0.0226628,2.50553,1
0.0225171,2.49037,1
0.022436,2.48079,1
0.0221587,2.47019,1
0.0224217,2.42722,1
0.0224033,2.42131,1
0.0228842,2.39481,1
0.0228842,2.39481,1
0.0228842,2.39481,1
0.0228842,2.39481,1
0.0228976,2.39261,1
0.0228976,2.39261,1
0.0228976,2.39261,1
0.0228976,2.39261,1
0.0228158,2.40288,1
0.0228158,2.40288,1
0.0229113,2.39789,1
0.022771,2.45168,1
0.0229447,2.45085,1
0.0230998,2.45078,1
0.0230998,2.45078,1
0.0230998,2.45078,1
0.0230998,2.45078,1
0.0231585,2.44853,1
0.0236184,2.43079,1
0.0236184,2.43079,1
0.0236058,2.4309,1
0.0228409,2.42648,1
0.0228664,2.45425,1
0.022817,2.4477,1
0.022817,2.4477,1
0.0229563,2.45509,1
0.0229563,2.45509,1
0.0229563,2.45509,1
0.0229958,2.44899,1
0.0230633,2.45227,1
0.0227697,2.47208,1
0.0218881,2.49054,1
0.0221904,2.47174,1
0.0221676,2.46923,1
0.0227071,2.46041,1
0.0227071,2.46041,1
0.0225676,2.46512,1
0.0225748,2.45333,1
0.0228273,2.45785,1
0.0228273,2.45785,1
0.0228273,2.45785,1
0.0228457,2.44968,1
0.022348,2.43992,1
0.022348,2.43992,1
0.0223477,2.44005,1
0.0222496,2.44075,1
0.0222496,2.44075,1
0.0222496,2.44075,1
0.0220613,2.48232,1
0.022058,2.4814,1
0.0224508,2.47519,1
0.0224508,2.47519,1
0.0224508,2.47519,1
0.0222774,2.47703,1
0.022304,2.51251,1
0.022304,2.51251,1
0.0222969,2.51043,1
0.0222969,2.51043,1
0.0222969,2.51043,1
0.022056,2.54402,1
0.0219467,2.54696,1
0.0220456,2.51509,1
0.0220456,2.51509,1
0.0220456,2.51509,1
0.0220456,2.51509,1
0.0220456,2.51509,1
0.022114,2.51753,1
0.0220483,2.5568,1
0.0220337,2.55897,1
0.0222675,2.50518,1
0.0222675,2.50518,1
0.0220499,2.49807,1
0.0220117,2.50351,1
0.0213649,2.49181,1
0.0221483,2.49398,1
0.0221483,2.49398,1
0.022089,2.49291,1
0.0221311,2.47123,1
0.0222058,2.4778,1
0.0222868,2.4751,1
0.022442,2.4868,1
0.0223999,2.54739,1
0.0223342,2.52956,1
0.022866,2.48091,2
0.0231287,2.48413,2
0.0231509,2.4773,2
0.0233013,2.47225,2
0.0225287,2.51874,2
0.0225373,2.55593,2
0.0224151,2.55105,2
0.0218487,2.49432,2
0.0218439,2.50606,2
0.0218439,2.50606,2
0.0218439,2.50606,2
0.0223043,2.50742,2
0.0224264,2.52594,2
0.0227177,2.5057,2
0.0227177,2.5057,2
0.0232571,2.45688,2
0.0232582,2.45698,2
0.0232843,2.45586,2
0.023132,2.45525,2
0.0229546,2.46654,2
0.022665,2.47628,2
0.0226512,2.48171,2
0.0229923,2.46415,2
0.0229763,2.46499,2
0.0229655,2.46314,2
0.0226306,2.46818,2
0.0225005,2.46992,2
0.0225465,2.47615,2
0.0217369,2.44645,2
0.0217369,2.44645,2
0.0217877,2.44998,2
0.0217877,2.44998,2
0.021884,2.45693,2
0.021884,2.45693,2
0.0220565,2.4807,2
0.0220827,2.47245,2
0.021728,2.49563,2
0.0220017,2.49688,2
0.0220017,2.49688,2
0.0220017,2.49688,2
0.0218134,2.48681,2
0.0216138,2.40428,2
0.0219274,2.41053,2
0.0212568,2.44928,2
0.0212388,2.44885,2
0.0217647,2.51602,2
0.0216378,2.52007,2
0.0220581,2.48856,2
0.0223182,2.50848,2
0.0226335,2.53041,2
0.0227355,2.49225,2
0.0231697,2.50854,2
0.023215,2.50632,2
0.0230816,2.49911,2
0.0236602,2.50985,2
0.0236353,2.50724,2
0.0229987,2.527,2
0.0232378,2.52595,2
0.0232378,2.52595,2
0.0232378,2.52595,2
0.0232378,2.52595,2
0.0229917,2.51446,2
0.0229774,2.51447,2
0.0223587,2.50172,2
0.0223051,2.52036,2
0.0227126,2.51392,2
0.0227126,2.51392,2
0.0227626,2.50448,2
0.0229508,2.50324,2
0.0229697,2.50345,2
0.0229697,2.50345,2
0.0231517,2.501,2
0.0231517,2.501,2
0.0230335,2.49806,2
0.0230707,2.49763,2
0.0230707,2.49763,2
0.02306,2.49592,2
0.023442,2.47648,2
0.023442,2.47648,2
0.023442,2.47648,2
0.023442,2.47648,2
0.0233296,2.47311,2
0.0233296,2.47311,2
0.0228136,2.47256,2
0.0229467,2.485,2
0.0223372,2.39981,2
0.0223372,2.39981,2
0.0223372,2.39981,2
0.0220692,2.4276,2
0.0223083,2.45514,2
0.0215382,2.41536,2
0.0215382,2.41536,2
0.0209271,2.3622,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0207934,2.36656,2
0.0208724,2.37597,2
0.0208724,2.37597,2
0.0208297,2.37423,2
0.0209623,2.38344,2
0.0209623,2.38344,2
0.0210332,2.3973,2
0.0210332,2.3973,2
0.0214211,2.44114,2
0.0214211,2.44114,2
0.0213839,2.43756,2
0.0215245,2.46057,2
0.021595,2.45801,2
0.021595,2.45801,2
0.0215673,2.46871,2
0.0215304,2.49167,2
0.0215304,2.49167,2
0.0215304,2.49167,2
0.0215304,2.49167,2
0.0215304,2.49167,2
0.0218663,2.45857,2
0.0217625,2.44252,2
0.0217625,2.44252,2
0.0217611,2.44057,2
0.0215119,2.44427,2
0.0215119,2.44427,2
0.0215119,2.44427,2
0.0216124,2.44826,2
0.0216851,2.46045,2
0.021696,2.46019,2
0.0210128,2.41728,2
