x1,x2,F1,F2
-1.000000,-1.000000,0.003221,0.099432
-0.998000,-0.998000,0.003250,0.099888
-0.996000,-0.996000,0.003280,0.100345
-0.994000,-0.994000,0.003311,0.100805
-0.992000,-0.992000,0.003341,0.101267
-0.990000,-0.990000,0.003372,0.101731
-0.988000,-0.988000,0.003403,0.102197
-0.986000,-0.986000,0.003435,0.102665
-0.984000,-0.984000,0.003466,0.103135
-0.982000,-0.982000,0.003498,0.103607
-0.980000,-0.980000,0.003530,0.104081
-0.978000,-0.978000,0.003563,0.104558
-0.976000,-0.976000,0.003596,0.105037
-0.974000,-0.974000,0.003629,0.105518
-0.972000,-0.972000,0.003663,0.106001
-0.970000,-0.970000,0.003696,0.106486
-0.968000,-0.968000,0.003730,0.106973
-0.966000,-0.966000,0.003765,0.107463
-0.964000,-0.964000,0.003799,0.107954
-0.962000,-0.962000,0.003835,0.108448
-0.960000,-0.960000,0.003870,0.108944
-0.958000,-0.958000,0.003906,0.109443
-0.956000,-0.956000,0.003942,0.109944
-0.954000,-0.954000,0.003978,0.110446
-0.952000,-0.952000,0.004015,0.110952
-0.950000,-0.950000,0.004052,0.111459
-0.948000,-0.948000,0.004089,0.111969
-0.946000,-0.946000,0.004127,0.112481
-0.944000,-0.944000,0.004165,0.112995
-0.942000,-0.942000,0.004203,0.113512
-0.940000,-0.940000,0.004242,0.114030
-0.938000,-0.938000,0.004281,0.114552
-0.936000,-0.936000,0.004320,0.115075
-0.934000,-0.934000,0.004360,0.115601
-0.932000,-0.932000,0.004400,0.116129
-0.930000,-0.930000,0.004441,0.116660
-0.928000,-0.928000,0.004482,0.117193
-0.926000,-0.926000,0.004523,0.117728
-0.924000,-0.924000,0.004565,0.118266
-0.922000,-0.922000,0.004607,0.118806
-0.920000,-0.920000,0.004649,0.119349
-0.918000,-0.918000,0.004692,0.119894
-0.916000,-0.916000,0.004735,0.120441
-0.914000,-0.914000,0.004779,0.120991
-0.912000,-0.912000,0.004823,0.121544
-0.910000,-0.910000,0.004868,0.122099
-0.908000,-0.908000,0.004912,0.122656
-0.906000,-0.906000,0.004958,0.123216
-0.904000,-0.904000,0.005003,0.123778
-0.902000,-0.902000,0.005049,0.124343
-0.900000,-0.900000,0.005096,0.124910
-0.898000,-0.898000,0.005143,0.125480
-0.896000,-0.896000,0.005190,0.126052
-0.894000,-0.894000,0.005238,0.126627
-0.892000,-0.892000,0.005286,0.127205
-0.890000,-0.890000,0.005335,0.127785
-0.888000,-0.888000,0.005384,0.128367
-0.886000,-0.886000,0.005434,0.128952
-0.884000,-0.884000,0.005484,0.129540
-0.882000,-0.882000,0.005534,0.130131
-0.880000,-0.880000,0.005585,0.130724
-0.878000,-0.878000,0.005636,0.131319
-0.876000,-0.876000,0.005688,0.131918
-0.874000,-0.874000,0.005741,0.132519
-0.872000,-0.872000,0.005794,0.133122
-0.870000,-0.870000,0.005847,0.133729
-0.868000,-0.868000,0.005901,0.134337
-0.866000,-0.866000,0.005955,0.134949
-0.864000,-0.864000,0.006010,0.135564
-0.862000,-0.862000,0.006065,0.136181
-0.860000,-0.860000,0.006121,0.136801
-0.858000,-0.858000,0.006177,0.137423
-0.856000,-0.856000,0.006234,0.138048
-0.854000,-0.854000,0.006291,0.138677
-0.852000,-0.852000,0.006349,0.139307
-0.850000,-0.850000,0.006408,0.139941
